--------------------------------------------------------------------------------Column Units Label  Explanations--------------------------------------------------------------------------------   1 -- ID Hi-GAL clump ID2 deg GLON Galactic Longitude (degrees)3 deg GLAT Galactic Latitude (degrees)4 K TEMP Dust temperature of the clump5 Lsun/Msun L/M Ratio between de Bolometric temperature and mass (in Lsun/Msun)6 gr/cm^2 SURF_DENS Surfece density7 -- EVOL_FLAG Flag for thd type os clump. (0) Starless unbound. (1) Prestellar bound. (2) Protostellar.--------------------------------------------------------------------------------
ID,GLON,GLAT,TEMP,L/M,SURF_DENS,EVOL_FLAG
179761,42.602398,0.017481,12.682,0.400791,0.0588188,1
179768,42.603713,-0.190704,18.202,3.50297,0.0305294,0
179779,42.606778,0.184258,16.834,2.19243,0.0139096,0
179783,42.607509,-0.368501,8.469,0.0344902,0.475286,1
179784,42.607560,-0.142551,12.983,3.26508,0.315412,2
179786,42.608561,0.313776,11.847,0.266341,0.0463325,1
179800,42.613934,0.140868,10.671,0.142209,0.0783865,1
179807,42.616519,-0.373188,9.243,0.0576193,0.556526,1
179819,42.620615,-0.135315,18.312,5.84102,0.0797398,2
179822,42.621314,0.039345,12.028,0.554604,0.156123,2
179824,42.622006,0.016339,15.417,1.29326,0.0218496,0
179827,42.622856,-0.365694,9.535,0.0703103,0.360153,1
179829,42.624026,-0.217427,11.204,0.190509,0.046018,1
179845,42.633495,-0.259682,9.595,0.0728543,0.386531,1
179862,42.639371,-0.202562,21.399,25.0671,0.386534,2
179863,42.639471,-0.472940,11.314,0.202075,0.0681157,1
179873,42.644375,-0.057724,11.556,0.229341,0.12671,1
179879,42.649272,-0.275697,14.401,0.859255,0.0388929,1
179892,42.654295,0.199528,12.682,0.4007,0.0637578,1
179904,42.658527,0.152443,19.981,12.4909,0.0198862,2
179914,42.662952,-0.047362,10.962,0.167141,0.140017,1
179917,42.663141,-0.352173,11.566,0.230631,0.0971966,1
179920,42.664671,0.154821,12.923,0.87547,0.191432,2
179924,42.666812,-0.093074,10.248,0.111611,0.0995293,1
179937,42.672392,-0.248152,10.138,0.104566,0.211556,1
179942,42.673484,-0.045987,9.836,0.0872322,0.129164,1
179943,42.673888,0.216806,14.341,2.0791,0.469666,2
179953,42.677057,0.239119,9.947,0.0932963,0.168316,1
179958,42.678056,-0.113583,12.450,0.502603,0.382914,2
179959,42.678730,-0.380731,12.088,0.300597,0.121146,1
