--------------------------------------------------------------------------------Column Units Label  Explanations--------------------------------------------------------------------------------   1 -- MIPSGAL MIPSGAL source ID.2 deg GLON Galactic Longitude of MIPSGAL source.3 deg GLAT Galactic Latitude of MIPSGAL source.4 mag [24] Flux magnitude of source at 24 microns.5 mag e_[24] Error in the flux magnitude at 24 microns.6 -- GLIMPSE Associated GLIMPSE source ID------------
MIPSGAL,GLON,GLAT,[24],e_[24],GLIMPSE
MG044.1332+00.3948,44.133220,0.394814,7.21,0.15,G044.1333+00.3947
MG044.1334+00.0234,44.133366,0.023368,7.41,0.17,G044.1333+00.0233
MG044.1346+00.8039,44.134603,0.803868,7.54,0.03,G044.1347+00.8036
MG044.1348-00.3030,44.134796,-0.302951,4.87,0.02,G044.1348-00.3030
MG044.1352+00.1602,44.135156,0.160242,2.98,0.02,G044.1352+00.1601
MG044.1355-00.5155,44.135548,-0.515545,7.74,0.13,G044.1355-00.5156
MG044.1358+00.4761,44.135766,0.476121,7.24,0.10,G044.1357+00.4760
MG044.1359-00.6219,44.135888,-0.621855,8.14,0.10,G044.1359-00.6219
MG044.1359-00.5502,44.135922,-0.550209,8.94,0.16,G044.1359-00.5503
MG044.1361-00.5126,44.136120,-0.512623,7.95,0.10,G044.1361-00.5127
MG044.1362-00.5899,44.136227,-0.589859,9.24,0.12,G044.1363-00.5899
MG044.1364-01.0208,44.136437,-1.020785,6.12,0.02,G044.1363-01.0209
MG044.1367+00.5921,44.136701,0.592091,5.39,0.02,G044.1367+00.5919
MG044.1370+00.7230,44.137008,0.723028,9.07,0.14,G044.1370+00.7229
MG044.1375+00.6070,44.137475,0.607000,8.65,0.18,G044.1373+00.6068
MG044.1376-00.2156,44.137563,-0.215558,6.09,0.05,G044.1378-00.2156
MG044.1380-00.1725,44.138035,-0.172522,8.32,0.12,G044.1382-00.1726
MG044.1383-00.0622,44.138341,-0.062180,7.75,0.19,G044.1384-00.0623
MG044.1384-00.1106,44.138362,-0.110633,8.48,0.19,G044.1385-00.1107
MG044.1384+00.5445,44.138379,0.544478,6.32,0.04,G044.1384+00.5443
MG044.1390+00.1339,44.138975,0.133871,4.72,0.02,G044.1390+00.1337
MG044.1392-00.9644,44.139158,-0.964444,6.64,0.03,G044.1392-00.9645
MG044.1392+00.6494,44.139245,0.649432,8.88,0.10,G044.1392+00.6493
MG044.1393-00.1825,44.139269,-0.182509,7.41,0.07,G044.1393-00.1826
MG044.1397+00.6884,44.139691,0.688420,9.13,0.17,G044.1398+00.6885
MG044.1399+00.5353,44.139919,0.535340,8.33,0.17,G044.1401+00.5351
MG044.1399-00.9147,44.139928,-0.914687,8.31,0.09,G044.1398-00.9148
MG044.1401-00.9506,44.140085,-0.950585,8.79,0.11,G044.1400-00.9507
MG044.1403-00.5594,44.140343,-0.559402,5.90,0.03,G044.1404-00.5595
MG044.1404+00.1514,44.140385,0.151367,7.36,0.07,G044.1403+00.1513
MG044.1407+00.8236,44.140694,0.823603,8.06,0.06,G044.1407+00.8234
MG044.1407-00.4454,44.140722,-0.445362,8.07,0.09,G044.1408-00.4455
MG044.1408-00.9564,44.140763,-0.956434,8.49,0.09,G044.1408-00.9565
MG044.1411-00.1487,44.141105,-0.148653,8.19,0.12,G044.1411-00.1487
MG044.1414-00.6853,44.141374,-0.685270,8.78,0.14,G044.1413-00.6853
MG044.1418+00.7856,44.141782,0.785598,6.05,0.02,G044.1418+00.7854
MG044.1418+00.6731,44.141833,0.673131,6.72,0.03,G044.1418+00.6731
MG044.2987-00.9059,44.298697,-0.905884,9.16,0.19,G044.2986-00.9060
MG044.2987-00.7882,44.298698,-0.788229,9.07,0.18,G044.2987-00.7884
MG044.2988-00.9364,44.298761,-0.936390,2.00,0.02,G044.2988-00.9365
MG044.2990+00.1292,44.298988,0.129234,7.53,0.09,G044.2989+00.1290
MG044.2993-00.3655,44.299286,-0.365475,9.31,0.13,
MG044.2993+00.6368,44.299323,0.636837,7.96,0.09,G044.2993+00.6366
MG044.2997+00.6872,44.299699,0.687208,7.72,0.06,G044.2997+00.6870
MG044.2999+00.5155,44.299872,0.515470,6.32,0.03,G044.2999+00.5153
MG044.3005+00.5859,44.300549,0.585854,3.23,0.02,G044.3006+00.5857
MG044.3007-00.7680,44.300699,-0.767971,5.35,0.02,G044.3007-00.7681
MG044.3008+00.7219,44.300814,0.721863,8.14,0.09,G044.3008+00.7217
MG044.3012+00.5362,44.301246,0.536242,8.20,0.16,G044.3013+00.5360
MG044.3014-00.1107,44.301438,-0.110699,6.62,0.04,G044.3014-00.1108
MG044.3016+00.2700,44.301579,0.269957,7.80,0.13,G044.3016+00.2699
MG044.3016+00.7104,44.301600,0.710438,4.19,0.02,G044.3017+00.7102
MG044.3019-00.5618,44.301909,-0.561789,7.76,0.09,
MG044.3022+00.0877,44.302202,0.087734,6.62,0.16,G044.3022+00.0877
MG044.3038-01.0237,44.303795,-1.023725,7.09,0.08,G044.3037-01.0238
MG044.3040+00.6268,44.303989,0.626847,8.13,0.11,G044.3040+00.6267
MG044.3045-00.4967,44.304476,-0.496712,8.29,0.08,G044.3044-00.4968
MG044.3045-00.6989,44.304522,-0.698911,9.01,0.17,G044.3045-00.6990
MG044.3055-00.4623,44.305519,-0.462326,7.18,0.06,G044.3054-00.4624
MG044.3059-00.0457,44.305879,-0.045739,8.61,0.12,G044.3059-00.0458
MG044.3060-00.5426,44.305986,-0.542631,7.58,0.09,G044.3060-00.5427
MG044.3060-00.5263,44.306045,-0.526278,8.24,0.09,G044.3061-00.5263
MG044.3061+00.3807,44.306098,0.380673,7.37,0.12,G044.3061+00.3804
MG044.3063+00.6859,44.306318,0.685882,6.19,0.03,G044.3063+00.6857
MG044.3063+00.2883,44.306322,0.288295,5.35,0.03,G044.3063+00.2882
MG044.3066-00.0479,44.306636,-0.047862,7.82,0.07,G044.3067-00.0478
MG044.3073-00.2173,44.307300,-0.217348,8.59,0.16,G044.3072-00.2175
MG044.3077+00.0085,44.307698,0.008537,7.72,0.05,
MG044.3078+00.2664,44.307782,0.266430,7.53,0.08,G044.3078+00.2663
MG044.3079-00.9397,44.307947,-0.939743,5.61,0.03,G044.3080-00.9397
MG044.3083+00.4443,44.308311,0.444259,7.74,0.07,G044.3083+00.4441
MG044.3094-00.1696,44.309361,-0.169602,3.87,0.02,G044.3093-00.1697
MG044.3094-00.8561,44.309409,-0.856149,3.08,0.02,G044.3094-00.8562
MG044.3095+00.9296,44.309470,0.929624,3.79,0.02,G044.3096+00.9294
