--------------------------------------------------------------------------------   Column Units Label  Explanations--------------------------------------------------------------------------------   1 -- SSTGLMC GLIMPSE source ID.2 deg Glon Galactic Longitude of Glimpse source3 deg Glat Galactic Latitude of Glimpse source4 mag [3.6]G Flux magnitude of source at 3.6 microns.5 mag [4.5]G Flux magnitude of source at 4.5 microns.6 mag [5.8]G Flux magnitude of source at 5.8 microns.7 mag [8.0]G Flux magnitude of source at 8.0 microns.---------------------------------------------------
SSTGLMC,GLon,GLat,[3.6]G,[4.5]G,[5.8]G,[8.0]G
G042.0141+00.0093, 42.0141, 0.0095,10.40, 9.85, 9.29, 8.51
G042.0247+00.8995, 42.0247, 0.8996,11.21,10.48, 9.73, 8.84
G042.0298-00.6918, 42.0298,-0.6918,11.37,10.61,10.00, 9.36
G042.0446+00.5181, 42.0446, 0.5183,12.02,11.29,10.52, 9.38
G042.0633-00.9871, 42.0633,-0.9871, 7.86, 7.07, 6.27, 5.35
G042.0636-00.6336, 42.0636,-0.6336,11.14,10.58,10.02, 9.45
G042.0706+00.4075, 42.0706, 0.4076,12.27,11.24,10.21, 9.26
G042.0719-00.1126, 42.0719,-0.1125,12.10,10.72, 9.89, 9.35
G042.0915-00.6240, 42.0915,-0.6240,11.85,11.23,10.54, 9.51
G042.0981+00.3515, 42.0981, 0.3516,     , 7.10, 5.34, 4.30
G042.1025-00.4492, 42.1025,-0.4491,11.15, 9.74, 8.64, 7.82
G042.1173-00.6105, 42.1173,-0.6104,10.98,10.34,10.00, 9.25
G042.1254+00.4484, 42.1254, 0.4485, 9.80, 8.86, 7.73, 6.40
G042.1395-00.7163, 42.1395,-0.7162,10.40, 9.72, 9.08, 8.21
G042.1607+00.6079, 42.1608, 0.6080,12.75, 9.61, 6.77, 4.49
G042.1740-00.2062, 42.1740,-0.2062,12.43,11.91,11.13, 9.35
G042.1762+00.2473, 42.1762, 0.2474,13.36,11.55,10.26, 9.51
G042.1813-00.8398, 42.1813,-0.8398,11.38,10.78,10.16, 9.30
G042.1911-00.8592, 42.1911,-0.8591,11.64,10.99,10.30, 9.17
G042.2275-00.0165, 42.2275,-0.0165,11.13, 9.81, 9.14, 8.64
G042.2616-00.4160, 42.2616,-0.4160, 7.64, 7.10, 6.54, 6.03
G042.2646+00.5475, 42.2646, 0.5476, 9.17, 7.34, 6.22, 5.48
G042.2956+00.2764, 42.2956, 0.2766,     , 9.70, 8.80, 8.02
G042.2962-00.5037, 42.2962,-0.5037, 8.50, 7.73, 7.02, 6.71
G042.3333-00.2099, 42.3333,-0.2099,12.00,11.00,10.41, 9.25
G042.3348-00.2110, 42.3348,-0.2110,12.00,10.65, 9.70, 9.08
G042.3354-00.2182, 42.3354,-0.2182,11.81,10.54, 9.42, 8.63
G042.3463-00.5677, 42.3463,-0.5676,11.67,11.06,10.25, 8.84
G042.3617+00.1747, 42.3617, 0.1749,11.16,10.60, 9.92, 9.26
G042.3770+00.6250, 42.3770, 0.6251,10.26, 9.33, 8.42, 7.29
G042.4012-00.7374, 42.4012,-0.7374,10.45,10.06, 9.66, 8.96
G042.4091+00.9160, 42.4091, 0.9161,10.26, 9.49, 8.70, 7.72
G042.4263+00.8377, 42.4263, 0.8378,10.64,10.06, 9.45, 8.79
G042.4367-00.5242, 42.4367,-0.5242,     ,10.58,10.16, 9.41
G042.4419-00.2767, 42.4419,-0.2767,12.17,11.05,10.09, 9.41
G042.4474+00.7180, 42.4474, 0.7181, 9.75, 8.62, 7.51, 6.31
G042.4575+00.8729, 42.4575, 0.8730,10.12, 9.18, 8.42, 7.59
G042.4635+00.6842, 42.4635, 0.6843, 9.51, 9.18, 8.81, 7.96
G042.4688+00.0690, 42.4689, 0.0692,10.38, 9.76, 9.24, 8.58
G042.4707-00.0934, 42.4707,-0.0934,12.38,11.45,10.36, 9.25
G042.4742-00.0751, 42.4742,-0.0751,11.21,10.72,10.05, 9.00
G042.5269+00.6762, 42.5269, 0.6764, 7.32, 6.92, 6.32, 5.81
G042.5369-00.0353, 42.5369,-0.0352, 7.36, 6.75, 6.04, 5.42
G042.5570-00.2899, 42.5570,-0.2899,11.05,10.43, 9.53, 9.03
G042.5600+00.1699, 42.5600, 0.1701, 9.62, 8.97, 8.30, 7.51
G042.5701-00.0510, 42.5701,-0.0509,10.15, 9.27, 8.37, 7.63
G042.5713-00.1498, 42.5713,-0.1498,11.34,10.76,10.23, 9.47
G042.6077-00.1981, 42.6077,-0.1981,10.69,10.02, 9.43, 8.62
G042.6586+00.1523, 42.6586, 0.1525, 9.76, 8.78, 7.27, 5.88
G042.6643+00.0121, 42.6643, 0.0122,11.62,11.03,10.29, 9.51
G042.6644-00.5465, 42.6644,-0.5465,12.09,11.02,10.17, 9.49
G042.6781-00.1132, 42.6781,-0.1132,10.52, 9.36, 8.38, 7.80
G042.6829+00.2114, 42.6829, 0.2115,11.56,10.35, 9.05, 8.21
G042.6886-00.1259, 42.6886,-0.1259,11.67,10.89,10.26, 9.44
G042.6921-00.1289, 42.6921,-0.1289,11.99,10.29, 9.56, 8.71
G042.6964-00.1300, 42.6964,-0.1299,10.10, 9.30, 8.65, 7.88
G042.6982-00.1478, 42.6982,-0.1477,13.36,11.81, 9.96, 8.11
G042.6989+00.0331, 42.6989, 0.0333, 9.48, 8.40, 7.60, 6.70
G042.7008-00.5837, 42.7008,-0.5836,11.86,11.19,10.66, 9.49
G042.7211-00.1071, 42.7211,-0.1071,10.36, 9.49, 8.67, 7.94
G042.7298-00.1992, 42.7298,-0.1991,10.89, 9.51, 8.38, 7.12
G042.7430-00.0253, 42.7430,-0.0252,12.66,11.46,10.13, 8.78
G042.7438-00.1589, 42.7438,-0.1588,11.61,10.36, 9.32, 8.46
G042.7448+00.5298, 42.7448, 0.5299,10.39, 9.76, 9.08, 8.54
G042.7688-00.1328, 42.7688,-0.1328,12.50,11.07, 9.95, 9.27
G042.7729-00.0010, 42.7729,-0.0009,10.01, 9.42, 9.00, 8.39
G042.7813-00.4635, 42.7814,-0.4634, 9.06, 7.69, 6.65, 5.96
G042.7952-00.1801, 42.7952,-0.1801,10.55, 9.60, 8.91, 8.05
G042.8215+00.3742, 42.8215, 0.3743, 8.82, 8.45, 8.05, 7.28
G042.8310-00.3312, 42.8310,-0.3311,11.42,10.40, 9.79, 9.07
G042.8346-00.2667, 42.8346,-0.2667, 8.97, 6.95, 5.40, 4.39
G042.8634-00.6062, 42.8635,-0.6062,10.98,10.16, 9.63, 9.02
G042.8735-00.1222, 42.8735,-0.1221,11.07,10.50, 9.79, 8.24
G042.8749-00.1048, 42.8749,-0.1048,11.96,10.91,10.08, 9.24
G042.8977+00.5402, 42.8977, 0.5403, 7.94, 6.97, 5.90, 4.61
G042.9155+00.0243, 42.9155, 0.0245,10.74,10.01, 9.29, 8.53
G042.9901-00.4824, 42.9901,-0.4823,10.19, 9.52, 8.88, 8.01
G043.0171+00.6348, 43.0172, 0.6350,11.98,11.10,10.42, 9.50
G043.0209-00.0233, 43.0209,-0.0233,11.29, 9.63, 8.53, 7.44
G043.0377-00.4513, 43.0377,-0.4513, 9.98, 8.51, 7.34, 6.48
